fight_url,fighter_1,fighter_2,has_strike_data,result
http://ufcstats.com/fight-details/6ef50ed03b116b60,Gabriella Fernandes,Julija Stoliarenko,True,"W
  


Gabriella Fernandes 


      ""Gabi"""
http://ufcstats.com/fight-details/7d923267c44dd93b,Uros Medic,Gilbert Urbina,True,"W
  


Uros Medic 


      ""The Doctor"""
http://ufcstats.com/fight-details/857e8facd8ff7c36,Cody Brundage,Eric McConico,True,"L
  


Cody Brundage"
http://ufcstats.com/fight-details/646c79a7ecd12e5f,Iasmin Lucindo,Angela Hill,True,"W
  


Iasmin Lucindo"
http://ufcstats.com/fight-details/98d6771af9b0ebe5,Andre Fili,Christian Rodriguez,True,"W
  


Andre Fili 


      ""Touchy"""
http://ufcstats.com/fight-details/aef44145740741b3,Joselyne Edwards,Priscila Cachoeira,True,"W
  


Joselyne Edwards 


      ""La Pantera"""
http://ufcstats.com/fight-details/68fe62bac7fd8bb0,Roman Dolidze,Anthony Hernandez,True,"L
  


Roman Dolidze"
http://ufcstats.com/fight-details/ae7a8f19743e8154,Elijah Smith,Toshiomi Kazama,True,"W
  


Elijah Smith 


      ""Swift"""
http://ufcstats.com/fight-details/ed5383b50ffcdded,Miles Johns,Jean Matsumoto,True,"L
  


Miles Johns 


      ""Chapo"""
http://ufcstats.com/fight-details/c62ed8a6002b5360,Karol Rosa,Nora Cornolle,True,"W
  


Karol Rosa"
http://ufcstats.com/fight-details/07c2af68b6dbc4ec,Austin Bashi,John Yannis,True,"W
  


Austin Bashi"
http://ufcstats.com/fight-details/282c8c6c1ed82bfb,Tatsuro Taira,HyunSung Park,True,"W
  


Tatsuro Taira"
http://ufcstats.com/fight-details/eeeffa7f514e0c0e,Rinya Nakamura,Nathan Fletcher,True,"W
  


Rinya Nakamura 


      ""Hybred"""
http://ufcstats.com/fight-details/111e66eb922449e4,Danny Silva,Kevin Vallejos,True,"L
  


Danny Silva 


      ""El Puma"""
http://ufcstats.com/fight-details/b3c695728e177fd4,Nick Klein,Andrey Pulyaev,True,"L
  


Nick Klein 


      ""Blue Collar"""
http://ufcstats.com/fight-details/426a69e343822ab3,Mateusz Rebecki,Chris Duncan,True,"L
  


Mateusz Rebecki"
http://ufcstats.com/fight-details/878941394f9e3538,Elves Brener,Esteban Ribovics,True,"L
  


Elves Brener"
http://ufcstats.com/fight-details/b47db03affb279c3,Rafael Estevam,Felipe Bunes,True,"W
  


Rafael Estevam 


      ""Macapa"""
http://ufcstats.com/fight-details/d98d6b2c13557a87,Piera Rodriguez,Ketlen Souza,True,"W
  


Piera Rodriguez 


      ""La Fiera"""
http://ufcstats.com/fight-details/45781930d64da456,Rodolfo Vieira,Tresean Gore,True,"W
  


Rodolfo Vieira"
http://ufcstats.com/fight-details/ac57250e3de89d5d,Neil Magny,Elizeu Zaleski dos Santos,True,"W
  


Neil Magny 


      ""The Haitian Sensation"""
http://ufcstats.com/fight-details/3e6067763978d862,Amanda Ribas,Tabatha Ricci,True,"L
  


Amanda Ribas"
http://ufcstats.com/fight-details/f9dac7702609669f,Ibo Aslan,Billy Elekana,True,"L
  


Ibo Aslan 


      ""The Last Ottoman"""
http://ufcstats.com/fight-details/6b8be0ee3e569ad2,Robert Whittaker,Reinier de Ridder,True,"L
  


Robert Whittaker 


      ""The Reaper"""
http://ufcstats.com/fight-details/887c61da1a78a5e1,Asu Almabayev,Jose Ochoa,True,"W
  


Asu Almabayev 


      ""Zulfikar"""
http://ufcstats.com/fight-details/e72c691b7c68b03a,Bryce Mitchell,Said Nurmagomedov,True,"W
  


Bryce Mitchell 


      ""Thug Nasty"""
http://ufcstats.com/fight-details/582d66ce97309e29,Shara Magomedov,Marc-Andre Barriault,True,"W
  


Shara Magomedov 


      ""Bullet"""
http://ufcstats.com/fight-details/d4d4ee045b0ca695,Petr Yan,Marcus McGhee,True,"W
  


Petr Yan 


      ""No Mercy"""
http://ufcstats.com/fight-details/77f960d82cda0b76,Nikita Krylov,Bogdan Guskov,True,"L
  


Nikita Krylov 


      ""The Miner"""
http://ufcstats.com/fight-details/017a825c7820d12e,Davey Grant,Da'Mon Blackshear,True,"W
  


Davey Grant 


      ""Dangerous"""
http://ufcstats.com/fight-details/0a598768f5c8d540,Martin Buday,Marcus Buchecha,True,"W
  


Martin Buday 


      ""Badys"""
http://ufcstats.com/fight-details/23ddf51ce630028d,Mohammad Yahya,Steven Nguyen,True,"L
  


Mohammad Yahya 


      ""The UAE Warrior"""
http://ufcstats.com/fight-details/7c075e3383198e14,Muslim Salikhov,Carlos Leal,True,"W
  


Muslim Salikhov 


      ""King of Kung Fu"""
http://ufcstats.com/fight-details/d2cb92fdf6a497e9,Kyler Phillips,Vinicius Oliveira,True,"L
  


Kyler Phillips 


      ""The Matrix"""
http://ufcstats.com/fight-details/a602c68147b752b2,Carli Judice,Nicolle Caliari,True,"W
  


Carli Judice 


      ""Crispy"""
http://ufcstats.com/fight-details/a95b03e9b5a91e47,Michael Johnson,Daniel Zellhuber,True,"W
  


Michael Johnson 


      ""The Menace"""
http://ufcstats.com/fight-details/acc961fd5cf5c62e,Dan Ige,Patricio Freire,True,"L
  


Dan Ige 


      ""50K"""
http://ufcstats.com/fight-details/df2ed8b509fbdbdc,Francisco Prado,Nikolay Veretennikov,True,"L
  


Francisco Prado"
http://ufcstats.com/fight-details/798652dbea086910,Jimmy Crute,Marcin Prachnio,True,"W
  


Jimmy Crute"
http://ufcstats.com/fight-details/182ee320edb1b5ed,Ryan Spann,Lukasz Brzeski,True,"W
  


Ryan Spann 


      ""Superman"""
http://ufcstats.com/fight-details/74099d470e8d2765,Brunno Ferreira,Jackson McVey,True,"W
  


Brunno Ferreira 


      ""The Hulk"""
http://ufcstats.com/fight-details/72e477b41f44e358,Ateba Gautier,Robert Valentin,True,"W
  


Ateba Gautier 


      ""The Silent Assassin"""
http://ufcstats.com/fight-details/8e1feda9141602f1,Marvin Vettori,Brendan Allen,True,"L
  


Marvin Vettori 


      ""The Italian Dream"""
http://ufcstats.com/fight-details/d7507e2741fd4d05,Max Holloway,Dustin Poirier,True,"W
  


Max Holloway 


      ""Blessed"""
http://ufcstats.com/fight-details/5dde61734080ac4a,Kevin Holland,Daniel Rodriguez,True,"L
  


Kevin Holland 


      ""Trailblazer"""
http://ufcstats.com/fight-details/23c963be9de38205,Paulo Costa,Roman Kopylov,True,"W
  


Paulo Costa 


      ""The Eraser"""
http://ufcstats.com/fight-details/37bc72d5d211b189,Adam Fugitt,Islam Dulatov,True,"L
  


Adam Fugitt"
http://ufcstats.com/fight-details/f368475c366c6d85,Calvin Kattar,Steve Garcia,True,"L
  


Calvin Kattar"
http://ufcstats.com/fight-details/0adfc21045c02555,Derrick Lewis,Tallison Teixeira,True,"W
  


Derrick Lewis 


      ""The Black Beast"""
http://ufcstats.com/fight-details/b19bf99c7eb796bc,Junior Tafa,Tuco Tokkos,True,"L
  


Junior Tafa 


      ""The Juggernaut"""
http://ufcstats.com/fight-details/d5e3be7a07c48b08,Jake Matthews,Chidi Njokuani,True,"W
  


Jake Matthews 


      ""The Celtic Kid"""
http://ufcstats.com/fight-details/7f33fbdc35afd721,Mitch Ramirez,Mike Davis,True,"L
  


Mitch Ramirez"
http://ufcstats.com/fight-details/5c650ae2193ab1bc,Kennedy Nzechukwu,Valter Walker,True,"L
  


Kennedy Nzechukwu 


      ""African Savage"""
http://ufcstats.com/fight-details/4b75d3b7738cb278,Vitor Petrino,Austen Lane,True,"W
  


Vitor Petrino"
http://ufcstats.com/fight-details/4e5d4a36eaaa3a78,Nate Landwehr,Morgan Charriere,True,"L
  


Nate Landwehr 


      ""The Train"""
http://ufcstats.com/fight-details/236f811290163dca,Max Griffin,Chris Curtis,True,"L
  


Max Griffin 


      ""Pain"""
http://ufcstats.com/fight-details/46bc1338a50cbeac,Lauren Murphy,Eduarda Moura,True,"L
  


Lauren Murphy 


      ""Lucky"""
http://ufcstats.com/fight-details/2a03bc4c491b4c9a,Stephen Thompson,Gabriel Bonfim,True,"L
  


Stephen Thompson 


      ""Wonderboy"""
http://ufcstats.com/fight-details/120d66cb0da0f3c3,Fatima Kline,Melissa Martinez,True,"W
  


Fatima Kline 


      ""The Archangel"""
http://ufcstats.com/fight-details/1ea9ad3b6e1cba79,Beneil Dariush,Renato Moicano,True,"W
  


Beneil Dariush"
http://ufcstats.com/fight-details/7a64d63e12618ba7,Ilia Topuria,Charles Oliveira,True,"W
  


Ilia Topuria 


      ""El Matador"""
http://ufcstats.com/fight-details/043172689e415438,Jhonata Diniz,Alvin Hines,True,"W
  


Jhonata Diniz"
http://ufcstats.com/fight-details/9bff9fe298e63357,Niko Price,Jacobe Smith,True,"L
  


Niko Price 


      ""The Hybrid"""
http://ufcstats.com/fight-details/d7be78c400e7e0f9,Terrance McKinney,Viacheslav Borshchev,True,"W
  


Terrance McKinney 


      ""T. Wrecks"""
http://ufcstats.com/fight-details/2f523b757f7f33a2,Hyder Amil,Jose Delgado,True,"L
  


Hyder Amil 


      ""The Hurricane"""
http://ufcstats.com/fight-details/958522de54ccc536,Jack Hermansson,Gregory Rodrigues,True,"L
  


Jack Hermansson 


      ""The Joker"""
http://ufcstats.com/fight-details/f722b96ae6862843,Brandon Royval,Joshua Van,True,"L
  


Brandon Royval 


      ""Raw Dawg"""
http://ufcstats.com/fight-details/8308464729ea7c40,Alexandre Pantoja,Kai Kara-France,True,"W
  


Alexandre Pantoja 


      ""The Cannibal"""
http://ufcstats.com/fight-details/815ff62ca8e217be,Viviane Araujo,Tracy Cortez,True,"L
  


Viviane Araujo 


      ""Vivi"""
http://ufcstats.com/fight-details/f6a3c78f15ff26c7,Payton Talbott,Felipe Lima,True,"W
  


Payton Talbott"
http://ufcstats.com/fight-details/5fcf18bcd2a020f1,Ismail Naurdiev,JunYong Park,True,"L
  


Ismail Naurdiev"
http://ufcstats.com/fight-details/8e5744c664fec3e9,Curtis Blaydes,Rizvan Kuniev,True,"W
  


Curtis Blaydes 


      ""Razor"""
http://ufcstats.com/fight-details/a1afc16e21d1a807,Rafael Fiziev,Ignacio Bahamondes,True,"W
  


Rafael Fiziev 


      ""Ataman"""
http://ufcstats.com/fight-details/fff3218758c513b8,Daria Zhelezniakova,Melissa Mullins,True,"W
  


Daria Zhelezniakova 


      ""Iron Lady"""
http://ufcstats.com/fight-details/03bc32bdb5a33496,Jamahal Hill,Khalil Rountree Jr.,True,"L
  


Jamahal Hill 


      ""Sweet Dreams"""
http://ufcstats.com/fight-details/36ec204f47e4d613,Tofiq Musayev,Myktybek Orolbai,True,"L
  


Tofiq Musayev"
http://ufcstats.com/fight-details/a12d3a6c8aaf87ca,Hamdy Abdelwahab,Mohammed Usman,True,"L
  


Hamdy Abdelwahab 


      ""The Hammer"""
http://ufcstats.com/fight-details/7513a00037094075,Nazim Sadykhov,Nikolas Motta,True,"W
  


Nazim Sadykhov 


      ""Black Wolf"""
http://ufcstats.com/fight-details/2bfc0212f2cae65b,Irina Alekseeva,Klaudia Sygula,True,"L
  


Irina Alekseeva 


      ""Russian Ronda"""
http://ufcstats.com/fight-details/e512b80bbaea36c2,Seokhyeon Ko,Oban Elliott,True,"W
  


Seokhyeon Ko 


      ""The Korean Tyson"""
http://ufcstats.com/fight-details/8c140756bf43dcc2,Tagir Ulanbekov,Azat Maksum,True,"W
  


Tagir Ulanbekov"
http://ufcstats.com/fight-details/19764211af05674c,Muhammad Naimov,Bogdan Grad,True,"W
  


Muhammad Naimov 


      ""Hillman"""
http://ufcstats.com/fight-details/1714950933f88ab9,Cody Garbrandt,Raoni Barcelos,True,"L
  


Cody Garbrandt 


      ""No Love"""
http://ufcstats.com/fight-details/08c04f18b0f58d71,Mansur Abdul-Malik,Cody Brundage,True,
