00_2_f1_made,00_2_f1_attempt,00_2_f2_made,00_2_f2_attempt,10_2_f1_made,10_2_f1_attempt,10_2_f2_made,10_2_f2_attempt,winner_encoded
0.0,0.0,0.0,0.0,32.0,6211.0,6211.0,35.0,0
0.0,0.0,0.0,0.0,44.0,6816.0,6816.0,36.0,0
11.0,211.0,211.0,5.0,0.0,0.0,0.0,0.0,0
40.0,7736.0,7736.0,77.0,0.0,0.0,0.0,0.0,0
8.0,1912.0,1912.0,17.0,9.0,166.0,166.0,17.0,0
48.0,9925.0,9925.0,85.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,6.0,129.0,129.0,18.0,0
1.0,20.0,20.0,5.0,0.0,0.0,0.0,0.0,0
9.0,2722.0,2722.0,34.0,24.0,3713.0,3713.0,33.0,0
10.0,2330.0,2330.0,42.0,0.0,0.0,0.0,0.0,1
43.0,6114.0,6114.0,59.0,0.0,0.0,0.0,0.0,0
1.0,330.0,330.0,40.0,0.0,0.0,0.0,0.0,1
21.0,458.0,458.0,26.0,38.0,565.0,565.0,14.0,0
22.0,349.0,349.0,29.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20.0,297.0,297.0,15.0,0.0,0.0,0.0,0.0,0
7.0,217.0,217.0,10.0,0.0,0.0,0.0,0.0,1
2.0,76.0,76.0,12.0,0.0,0.0,0.0,0.0,1
13.0,3154.0,3154.0,73.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20.0,452.0,452.0,9.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5.0,71.0,71.0,4.0,0.0,0.0,0.0,0.0,0
11.0,4418.0,4418.0,35.0,0.0,0.0,0.0,0.0,1
6.0,90.0,90.0,4.0,0.0,0.0,0.0,0.0,0
6.0,1336.0,1336.0,54.0,0.0,0.0,0.0,0.0,1
8.0,227.0,227.0,15.0,0.0,0.0,0.0,0.0,0
5.0,197.0,197.0,19.0,13.0,245.0,245.0,15.0,0
0.0,314.0,314.0,24.0,0.0,0.0,0.0,0.0,0
20.0,6927.0,6927.0,50.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.0,137.0,137.0,11.0,0.0,0.0,0.0,0.0,0
28.0,4413.0,4413.0,29.0,22.0,5320.0,5320.0,43.0,0
13.0,2410.0,2410.0,43.0,0.0,0.0,0.0,0.0,0
0.0,725.0,725.0,34.0,0.0,0.0,0.0,0.0,1
